net,length_um
net463,562.53µm
net390,513.21µm
net456,512.33µm
net296,478.46µm
net52,475.81µm
net38,448.43µm
net421,445.52µm
net373,444.07µm
net49,440.31µm
net43,438.45µm
net32,438.2µm
net175,430.06µm
net3,429.26µm
net58,419.66µm
net478,413.77µm
net335,410.71µm
net47,402.53µm
net11,401.34µm
net54,391.96µm
net53,388.37µm
net245,376.78µm
net62,376.57µm
net42,363.91µm
net319,359.74µm
net197,359.68µm
net554,357.12µm
net61,356.61µm
net167,355.51µm
net253,354.57µm
net27,351.27µm
net35,350.14µm
net37,341.09µm
net163,323.335µm
net313,321.45µm
net589,320.35µm
net329,317.43µm
net295,313.2µm
net382,308.49µm
net626,307.86µm
net218,306.61µm
net522,306.525µm
net321,304.02µm
net14,299.57µm
net225,290.22µm
net466,287.45µm
net33,285.71µm
net13,283.1µm
net55,282.86µm
net28,282.75µm
net341,281.66µm
net549,277.435µm
net16,274.46µm
net311,274.355µm
net233,274.03µm
net623,273.82µm
net26,273.22µm
net592,270.42µm
net538,269.55µm
_03267_,267.48µm
net336,264.64µm
net285,261.89µm
net632,259.98µm
net331,259.96µm
_03265_,259.84µm
net561,259.76µm
net395,259.57µm
net221,259.32µm
net316,258.76µm
net363,256.98µm
net424,256µm
net299,255.73µm
net614,251.56µm
net275,249.855µm
net293,249µm
net324,247.42µm
net430,245.86µm
net340,245.58µm
net64,244.62µm
net355,240.2µm
net555,239.95µm
net242,238.88µm
net263,238.66µm
net34,236.76µm
net264,235.41µm
_05070_,234.36µm
net305,233.44µm
net546,233.35µm
net248,232.86µm
net267,232.04µm
net1,231.64µm
net462,231.11µm
net553,230.52µm
net17,226.72µm
net314,223.58µm
net548,223.52µm
net575,222.72µm
net584,222.32µm
net51,219.78µm
net286,219.12µm
net281,217.6µm
net308,217.16µm
net183,216.7µm
net562,215.52µm
net449,214.12µm
net292,214.04µm
net251,213.32µm
net360,213µm
net506,212.88µm
net303,212.825µm
net273,212.11µm
net455,210.86µm
net280,210.77µm
net188,210.47µm
net445,209.045µm
net246,208.46µm
net502,208.34µm
net318,208.16µm
net288,206.98µm
net394,206.115µm
net481,205.61µm
net284,205.605µm
net352,204.74µm
net605,204.37µm
net307,203.46µm
net179,202.89µm
net178,202.2µm
net29,200.68µm
net252,200.18µm
net370,199.79µm
net523,198.01µm
net610,197.34µm
net326,197.16µm
net470,196.8µm
net312,196.21µm
net290,196.11µm
net192,195.375µm
net378,194.69µm
net169,194.56µm
net361,194.52µm
net402,194.4µm
net161,193.96µm
net409,193.47µm
net18,192.44µm
net417,192.31µm
net247,192.24µm
net371,191.8µm
net339,191.5µm
net243,190.05µm
net5,189.97µm
net349,188.29µm
net196,188.2µm
net539,187.72µm
net171,186.715µm
net220,186µm
net357,185.95µm
net631,185.21µm
net599,184.745µm
net567,184.49µm
net492,182.82µm
net170,180.38µm
net495,180.2µm
net365,179.82µm
net425,179.68µm
net621,179.6µm
net322,179.53µm
net57,178.3µm
net187,177.16µm
net298,177µm
net576,176.84µm
net404,176.74µm
net260,174.68µm
net379,174.18µm
net531,173.96µm
net403,173.58µm
net429,173.57µm
net569,173.46µm
net568,173.26µm
net283,171.84µm
net272,171.57µm
net200,171.36µm
net194,170.67µm
net354,169µm
net12,168.38µm
net362,166.785µm
net499,166.61µm
net250,166.24µm
net498,165.66µm
net333,165.61µm
net396,165.595µm
net606,165.42µm
net598,165.09µm
net484,164.72µm
net558,164.14µm
net356,163.4µm
net508,162.395µm
net297,162.355µm
net530,162.19µm
net582,160.06µm
net364,159.635µm
net213,159.02µm
net518,158.695µm
net306,157.6µm
net289,157.39µm
net216,157.1µm
net177,156.94µm
net496,156.93µm
net186,156.54µm
net310,156.35µm
net418,155.975µm
net10,155.59µm
net520,154.6µm
